dataset,model,scenario,n_eval,mean_refit_time_sec,mean_inference_latency_sec,model_size_bytes,threshold,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,RMSE,MAE,sMAPE,R2,R2_manual
cholera,Prophet,forecast_original,84,0.18339029351193945,0.03888137445238456,45574,552.0479,0.1,1.0,additive,1158.8843273950183,860.1895015640274,163.16312267336676,-5.955026823914625,-5.955026823914625
ilinet,Prophet,forecast_original,52,0.06967652405763566,0.02372638444229289,31919,1.9194364237418278,0.01,1.0,additive,1.5269616589557655,1.339328853977661,45.408696091550944,0.3693303221639892,0.3693303221639892
electricity,Prophet,forecast_original,42,0.047372581381014675,0.01523038180948788,27294,0.4575349218656561,0.1,1.0,additive,0.13001836169371986,0.10041258496122854,10.60053831155759,0.6872138254570399,0.6872138254570399
