dataset,model,scenario,k_mad,n_runs,n_reference_anomalies,threshold,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,baseline_F1_mean,baseline_FalsePositiveRate_mean,F1_change_vs_baseline,FalsePositiveRate_change_vs_baseline
cholera,ARIMA,injected_5pct,3.5,1,4,1160.4317098371575,17.0,,0.23529411764705882,,1.0,,0.38095238095238093,,0.8375,0.1625,0.91875,applicable,0.38095238095238093,0.1625,0.0,0.0
cholera,ARIMA,injected_5pct,4.0,1,4,1296.4015291086212,17.0,,0.23529411764705882,,1.0,,0.38095238095238093,,0.8375,0.1625,0.91875,applicable,0.38095238095238093,0.1625,0.0,0.0
cholera,ARIMA,injected_5pct,4.5,1,4,1432.3713483800848,17.0,,0.23529411764705882,,1.0,,0.38095238095238093,,0.8375,0.1625,0.91875,applicable,0.38095238095238093,0.1625,0.0,0.0
cholera,ARIMA,injected_5pct,5.0,1,4,1568.3411676515484,17.0,,0.23529411764705882,,1.0,,0.38095238095238093,,0.8375,0.1625,0.91875,applicable,0.38095238095238093,0.1625,0.0,0.0
cholera,ARIMA,proxy_robust_z,2.0,1,0,752.5222520227669,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
cholera,ARIMA,proxy_robust_z,2.5,1,0,888.4920712942305,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
cholera,ARIMA,proxy_robust_z,3.0,1,0,1024.4618905656941,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
cholera,ARIMA,proxy_robust_z,3.5,1,0,1160.4317098371575,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
cholera,ARIMA,proxy_robust_z,4.0,1,0,1296.4015291086212,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
cholera,ARIMA,proxy_robust_z,4.5,1,0,1432.3713483800848,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
cholera,ARIMA,proxy_robust_z,5.0,1,0,1568.3411676515484,0.0,,,,,,,,1.0,0.0,,not_applicable_no_positive_reference,,0.0,,0.0
cholera,LSTM,injected_10pct,2.0,10,8,77.71765077285767,55.8,15.222789932641563,0.12344176100341701,0.03512617209538668,0.8125,0.10622957319984969,0.21286793606867369,0.054105901838974096,0.3513157894736842,0.6486842105263158,0.5819078947368421,applicable,0.24776979170173527,0.5131578947368421,-0.034901855633061585,0.1355263157894736
cholera,LSTM,injected_10pct,2.5,10,8,89.67786190128326,52.1,14.999629625057043,0.13103950627129185,0.037492216755492414,0.8,0.10540925533894598,0.22368707076829702,0.05785126372471655,0.3986842105263158,0.6013157894736841,0.5993421052631579,applicable,0.24776979170173527,0.5131578947368421,-0.024082720933438245,0.08815789473684199
cholera,LSTM,injected_10pct,3.0,10,8,101.63807302970886,48.4,14.622661256495762,0.13874331942987914,0.0342995046790011,0.7875,0.08436856971381912,0.234308081343712,0.051779750514241905,0.4460526315789474,0.5539473684210526,0.6167763157894737,applicable,0.24776979170173527,0.5131578947368421,-0.013461710358023266,0.04078947368421049
cholera,LSTM,injected_10pct,3.5,10,8,113.59828415813446,45.3,13.760248705762715,0.14811731511731513,0.03611712762750384,0.7875,0.08436856971381912,0.24776979170173527,0.054590754980653744,0.48684210526315785,0.5131578947368421,0.6371710526315789,applicable,0.24776979170173527,0.5131578947368421,0.0,0.0
cholera,LSTM,injected_10pct,4.0,10,8,125.55849528656006,41.3,10.842816362304891,0.15980228302218727,0.03468117304825685,0.7875,0.08436856971381912,0.26437878903027195,0.051766829183747684,0.5394736842105263,0.46052631578947373,0.6634868421052632,applicable,0.24776979170173527,0.5131578947368421,0.016608997328536684,-0.05263157894736842
