dataset,model,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,training_time_mean_sec,training_time_std_sec,inference_latency_mean_sec,model_size_mean_bytes,n_parameters_mean
cholera,LSTM,10,193.80368321649854,31.840731637725895,140.93828139383112,31.611138669834972,81.10096185278707,30.172832415564045,0.8007643879925268,0.06489570102516774,3.5305493975004536,0.6017613636588103,0.011552611496430082,19588.0,4897.0
electricity,LSTM,10,0.13840858365607728,0.0046090844258887525,0.1061054672921301,0.001918306776437192,11.442368117027321,0.21614223355697365,0.6451886991593078,0.023681161602593793,5.219239177600139,1.022523202190455,0.009827537333356824,19588.0,4897.0
ilinet,LSTM,10,0.7538869622349782,0.0700787559247926,0.45450547505996336,0.05579411552917824,14.09679105151631,1.710534364561351,0.8450746370207819,0.029902008217170806,2.59118318689998,0.503271246336104,0.010960840982695046,19588.0,4897.0
