dataset,model,scenario,n_seeds,n_reference_anomalies,n_detected_mean,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,metric_status
cholera,LSTM,injected_10pct,10,8,45.3,0.14811731511731513,0.036117127627503846,0.7875,0.0843685697138191,0.24776979170173527,0.05459075498065375,applicable
cholera,LSTM,injected_5pct,10,4,56.5,0.07311626639161793,0.013313910783369428,1.0,0.0,0.13601021724100815,0.023181583247151687,applicable
cholera,LSTM,proxy_robust_z,10,0,36.3,,,,,,,not_applicable_no_positive_reference
electricity,LSTM,injected_10pct,10,4,6.9,0.588095238095238,0.0736429251407114,1.0,0.0,0.7381818181818182,0.05867634948059171,applicable
electricity,LSTM,injected_5pct,10,2,3.5,0.5833333333333333,0.08784104611578829,1.0,0.0,0.7333333333333333,0.0702728368926307,applicable
electricity,LSTM,proxy_robust_z,10,0,1.0,,,,,,,not_applicable_no_positive_reference
ilinet,LSTM,injected_10pct,10,5,9.4,0.3496212121212121,0.04765874777162395,0.6599999999999999,0.13498971154211062,0.4562728937728938,0.07039965825643525,applicable
ilinet,LSTM,injected_5pct,10,3,11.4,0.26824675324675323,0.036508228814370866,1.0,0.0,0.42181426416720535,0.0465442020386955,applicable
ilinet,LSTM,proxy_robust_z,10,11,7.5,0.9505050505050505,0.1050213634793538,0.6363636363636364,0.04285495643554835,0.7577599524658348,0.03293421330269688,applicable
