dataset,detector,detector_category,stochastic,seed,scenario,window_size,n_fit_windows,n_validation_windows,validation_target_fpr,score_threshold,training_time_sec,inference_latency_sec,model_size_bytes,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
cholera,IsolationForest,independent_window_detector,True,99,injected_5pct,52,226,56,0.05,-0.05401470775205092,0.7413775790000727,0.0003577354880885001,3846918,4,67,13,0,4,71,0.056338028169014086,1.0,0.10666666666666667,0.1625,0.8375,0.58125,applicable
cholera,IsolationForest,independent_window_detector,True,99,injected_10pct,52,226,56,0.05,-0.05401470775205092,0.7413775790000727,0.00033867651190381106,3846918,7,59,17,1,8,66,0.10606060606060606,0.875,0.1891891891891892,0.2236842105263158,0.7763157894736842,0.5493421052631579,applicable
cholera,IsolationForest,independent_window_detector,True,99,proxy_robust_z,52,226,56,0.05,-0.05401470775205092,0.7413775790000727,0.0003661027380877342,3846918,0,36,48,0,0,36,,,,0.5714285714285714,0.42857142857142855,,not_applicable_no_positive_reference
cholera,IsolationForest,independent_window_detector,True,110,injected_5pct,52,226,56,0.05,-0.05013677448712389,0.7618958579996615,0.00033667428571485897,3881256,4,68,12,0,4,72,0.05555555555555555,1.0,0.10526315789473684,0.15,0.85,0.575,applicable
cholera,IsolationForest,independent_window_detector,True,110,injected_10pct,52,226,56,0.05,-0.05013677448712389,0.7618958579996615,0.0003405846785729712,3881256,8,52,24,0,8,60,0.13333333333333333,1.0,0.23529411764705882,0.3157894736842105,0.6842105263157895,0.6578947368421053,applicable
cholera,IsolationForest,independent_window_detector,True,110,proxy_robust_z,52,226,56,0.05,-0.05013677448712389,0.7618958579996615,0.0003337861190478482,3881256,0,28,56,0,0,28,,,,0.6666666666666666,0.3333333333333333,,not_applicable_no_positive_reference
cholera,OneClassSVM,independent_window_detector,False,0,injected_5pct,52,226,56,0.05,0.052637231767491244,0.0027712869996321388,1.095519048379044e-05,27790,4,80,0,0,4,84,0.047619047619047616,1.0,0.09090909090909091,0.0,1.0,0.5,applicable
cholera,OneClassSVM,independent_window_detector,False,0,injected_10pct,52,226,56,0.05,0.052637231767491244,0.0027712869996321388,1.2233035715239349e-05,27790,8,76,0,0,8,84,0.09523809523809523,1.0,0.17391304347826086,0.0,1.0,0.5,applicable
cholera,OneClassSVM,independent_window_detector,False,0,proxy_robust_z,52,226,56,0.05,0.052637231767491244,0.0027712869996321388,1.1682630959815773e-05,27790,0,49,35,0,0,49,,,,0.4166666666666667,0.5833333333333334,,not_applicable_no_positive_reference
cholera,LocalOutlierFactor,independent_window_detector,False,0,injected_5pct,52,226,56,0.05,0.122861572653445,0.037104326999724435,2.020030952042448e-05,136035,4,80,0,0,4,84,0.047619047619047616,1.0,0.09090909090909091,0.0,1.0,0.5,applicable
cholera,LocalOutlierFactor,independent_window_detector,False,0,injected_10pct,52,226,56,0.05,0.122861572653445,0.037104326999724435,1.9168059528359056e-05,136035,8,76,0,0,8,84,0.09523809523809523,1.0,0.17391304347826086,0.0,1.0,0.5,applicable
cholera,LocalOutlierFactor,independent_window_detector,False,0,proxy_robust_z,52,226,56,0.05,0.122861572653445,0.037104326999724435,1.9856035719168997e-05,136035,0,75,9,0,0,75,,,,0.10714285714285714,0.8928571428571429,,not_applicable_no_positive_reference
cholera,Robust-Z,independent_point_detector,False,0,injected_5pct,1,333,0,,3.5,0.0,1.6634285743965024e-06,16,2,0,80,2,4,2,1.0,0.5,0.6666666666666666,1.0,0.0,0.75,applicable
cholera,Robust-Z,independent_point_detector,False,0,injected_10pct,1,333,0,,3.5,0.0,1.5621190500713141e-06,16,2,0,76,6,8,2,1.0,0.25,0.4,1.0,0.0,0.625,applicable
cholera,Robust-Z,independent_point_detector,False,0,proxy_robust_z,1,333,0,,3.5,0.0,1.448964288404871e-06,16,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
ilinet,IsolationForest,independent_window_detector,True,11,injected_5pct,24,148,37,0.05,0.11570925529552989,0.7492659869994895,0.0005340361730689508,2801935,1,13,36,2,3,14,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.7346938775510204,0.2653061224489796,0.5340136054421769,applicable
ilinet,IsolationForest,independent_window_detector,True,11,injected_10pct,24,148,37,0.05,0.11570925529552989,0.7492659869994895,0.0007409873846182353,2801935,1,11,36,4,5,12,0.08333333333333333,0.2,0.11764705882352941,0.7659574468085106,0.23404255319148937,0.4829787234042553,applicable
ilinet,IsolationForest,independent_window_detector,True,11,proxy_robust_z,24,148,37,0.05,0.11570925529552989,0.7492659869994895,0.0008111931730616981,2801935,0,13,28,11,11,13,0.0,0.0,0.0,0.6829268292682927,0.3170731707317073,0.34146341463414637,applicable
ilinet,IsolationForest,independent_window_detector,True,22,injected_5pct,24,148,37,0.05,0.12293160237716994,0.7788799520003522,0.0006855790961533505,2894353,1,13,36,2,3,14,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.7346938775510204,0.2653061224489796,0.5340136054421769,applicable
