dataset,detector,detector_category,scenario,n_runs,n_reference_anomalies,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,training_time_mean_sec,inference_latency_mean_sec,model_size_mean_bytes,metric_status,F1_rank_within_dataset_scenario
electricity,LocalOutlierFactor,independent_window_detector,proxy_robust_z,1,0,1.0,,,,,,,,0.9761904761904762,0.023809523809523808,,0.0015567179998470237,2.645352380914985e-05,37850.0,not_applicable_no_positive_reference,
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,proxy_robust_z,10,0,0.0,0.0,,,,,,,,,,0.9400362158000461,8.450905004228242e-05,1958.4,not_applicable_no_positive_reference,
electricity,OneClassSVM,independent_window_detector,proxy_robust_z,1,0,20.0,,,,,,,,0.5238095238095238,0.47619047619047616,,0.0009145250005531125,8.381428566887431e-06,6854.0,not_applicable_no_positive_reference,
electricity,Robust-Z,independent_point_detector,proxy_robust_z,1,0,0.0,,,,,,,,1.0,0.0,,0.0,2.1941190468732246e-06,16.0,not_applicable_no_positive_reference,
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,injected_10pct,10,5,12.1,0.9944289260117533,0.4065767565767565,0.03376620366263995,0.9800000000000001,0.06324555320336758,0.5740368077055383,0.04005931690996656,,,,0.9178069213000526,9.510703848891253e-05,2880.0,applicable,1.0
ilinet,IsolationForest,independent_window_detector,injected_10pct,10,5,13.1,2.4244128727957572,0.07934274059274059,0.018512550589954005,0.2,0.0,0.11257526357371558,0.01744740182151148,0.7425531914893617,0.2574468085106383,0.4712765957446809,0.6570542786998885,0.0006911206000005712,2847671.5,applicable,2.0
ilinet,OneClassSVM,independent_window_detector,injected_10pct,1,5,28.0,,0.03571428571428571,,0.2,,0.06060606060606061,,0.425531914893617,0.574468085106383,0.3127659574468085,0.0025792239994189003,1.6352942321436087e-05,11250.0,applicable,3.0
ilinet,LocalOutlierFactor,independent_window_detector,injected_10pct,1,5,16.0,,0.0,,0.0,,0.0,,0.6595744680851063,0.3404255319148936,0.32978723404255317,0.004423375999976997,4.3741846166785064e-05,56026.0,applicable,4.0
ilinet,Robust-Z,independent_point_detector,injected_10pct,1,5,8.0,,0.0,,0.0,,0.0,,0.8297872340425532,0.1702127659574468,0.4148936170212766,0.0,2.523230775225854e-06,16.0,applicable,4.0
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,injected_5pct,10,3,13.7,0.674948557710553,0.21945054945054937,0.010667456598371825,1.0,0.0,0.3598039215686274,0.014375370880995282,,,,0.9178069213000526,0.00010465712305523925,2880.0,applicable,1.0
ilinet,LocalOutlierFactor,independent_window_detector,injected_5pct,1,3,27.0,,0.07407407407407407,,0.6666666666666666,,0.13333333333333333,,0.4897959183673469,0.5102040816326531,0.5782312925170068,0.004423375999976997,2.1627326934601744e-05,56026.0,applicable,2.0
ilinet,OneClassSVM,independent_window_detector,injected_5pct,1,3,33.0,,0.06060606060606061,,0.6666666666666666,,0.1111111111111111,,0.3673469387755102,0.6326530612244898,0.5170068027210885,0.0025792239994189003,1.3536019231161425e-05,11250.0,applicable,3.0
ilinet,IsolationForest,independent_window_detector,injected_5pct,10,3,16.2,1.6193277068654823,0.06231909430438842,0.006577294747731658,0.3333333333333333,0.0,0.10486805248415157,0.009251600524753744,0.689795918367347,0.31020408163265306,0.5115646258503401,0.6570542786998885,0.0005818823499951647,2847671.5,applicable,4.0
ilinet,Robust-Z,independent_point_detector,injected_5pct,1,3,11.0,,0.0,,0.0,,0.0,,0.7755102040816326,0.22448979591836735,0.3877551020408163,0.0,3.006826930756618e-06,16.0,applicable,5.0
ilinet,Robust-Z,independent_point_detector,proxy_robust_z,1,11,11.0,,1.0,,1.0,,1.0,,1.0,0.0,1.0,0.0,2.370999989300169e-06,16.0,applicable,1.0
ilinet,NFGA-LINEAR residual detector,forecast_residual_detector,proxy_robust_z,10,11,7.2,0.632455532033676,1.0,0.0,0.6545454545454545,0.05749595745760692,0.7898864809081527,0.04231734779998933,,,,0.9178069213000526,9.435741539545583e-05,2880.0,applicable,2.0
ilinet,OneClassSVM,independent_window_detector,proxy_robust_z,1,11,23.0,,0.17391304347826086,,0.36363636363636365,,0.23529411764705882,,0.5365853658536586,0.4634146341463415,0.4501108647450111,0.0025792239994189003,1.4562096164529346e-05,11250.0,applicable,3.0
ilinet,LocalOutlierFactor,independent_window_detector,proxy_robust_z,1,11,20.0,,0.15,,0.2727272727272727,,0.1935483870967742,,0.5853658536585366,0.4146341463414634,0.42904656319290463,0.004423375999976997,2.3794730763116742e-05,56026.0,applicable,4.0
ilinet,IsolationForest,independent_window_detector,proxy_robust_z,10,11,15.3,1.4944341180973264,0.06144607843137255,0.049118507258980364,0.09090909090909091,0.07422696190252054,0.0733007733007733,0.059078320688662596,0.651219512195122,0.348780487804878,0.37106430155210646,0.6570542786998885,0.0005731483499997782,2847671.5,applicable,5.0
