dataset,model,threshold,calibration_residual_median,calibration_residual_mad,threshold_method,calibration_seed,n_fit,n_validation,selected_K,calibration_time_sec,calibration_generations
cholera,NFGA-Core,795.5579964812515,585.3491577275637,40.50969122847658,median_plus_k_scaled_mad,20260731,225,56,8,1.0761977799993474,40
cholera,NFGA-LINEAR,419.8436433184498,253.90151133665034,31.978981322734086,median_plus_k_scaled_mad,20260731,225,56,3,0.6281646070001443,20
ilinet,NFGA-Core,2.0323563160029625,0.4667924848147591,0.3017023821449198,median_plus_k_scaled_mad,20260731,147,37,8,0.8046084210000117,40
ilinet,NFGA-LINEAR,0.46832553847193575,0.08988842521426478,0.07292923883865622,median_plus_k_scaled_mad,20260731,147,37,7,0.815859188000104,40
electricity,NFGA-Core,0.28119688154501987,0.07360874177012816,0.04000465201574295,median_plus_k_scaled_mad,20260731,119,30,5,0.7384244520007996,40
electricity,NFGA-LINEAR,0.4279732915635018,0.09660332212099038,0.06385885210200448,median_plus_k_scaled_mad,20260731,119,30,8,0.8714950949997728,40
