dataset,model,n_seeds,K_mean,K_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,training_time_mean_sec,training_time_std_sec,inference_latency_mean_sec,model_size_mean_bytes,generations_mean
cholera,NFGA-Core,10,7.4,1.2649110640673518,459.7289962524375,118.3822796662578,376.70406442297974,80.94565366487578,98.55352611455211,34.80816517834433,-0.15983502791235996,0.5984661686539015,1.0953968974000419,0.15747148061046012,7.620208095236844e-05,3196.8,39.6
cholera,NFGA-LINEAR,10,2.5,0.5270462766947299,136.0722959320049,41.78935174461751,110.95992734876195,48.9630257014377,59.17035447242714,29.72538551653017,0.8959739696611353,0.06900791353472539,0.7975788800998999,0.30958318305384863,8.050379047376953e-05,2120.0,29.9
electricity,NFGA-Core,10,8.0,0.0,0.15530923938511892,0.010578257929983495,0.11383794840218606,0.007528069011381863,12.38732837204379,0.8480458988900116,0.5518305567800307,0.06094860388739757,0.7732059094999386,0.016077633725697312,7.675185002404933e-05,1152.0,40.0
electricity,NFGA-LINEAR,10,7.2,0.9189365834726816,0.14786328813741856,0.0031219859497253494,0.11339359949008301,0.0035836285573955513,12.07877790382091,0.3008088951996234,0.5953000951448085,0.01714634195507334,0.9400362158000461,0.17357463637734666,0.00011035645000967114,1958.4,40.0
ilinet,NFGA-Core,10,7.2,1.0327955589886444,0.7413542410384759,0.04485550344367741,0.49425399916428975,0.06174753834404623,16.85249247676825,3.2405119746463455,0.8508491342681326,0.018292363715962448,0.9014710488001583,0.16356932433129143,9.422970001826168e-05,1497.6,38.2
ilinet,NFGA-LINEAR,10,7.2,1.3165611772087666,0.4421830420553654,0.014282300568139072,0.2615064839593851,0.009865968300375925,7.898919482140462,0.9758252136493246,0.9470632304945283,0.003442788395870413,0.9178069213000526,0.2086443070817478,0.00010261799616973104,2880.0,35.7
