generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.13530066581113787,0.13530066581113787,0.1426640657180782,0.006968447951035197,5
1,0.13374589759222597,0.13374589759222597,0.15642162498819887,0.053194915943681524,7
2,0.13374589759222597,0.13374589759222597,0.16724413969889226,0.04869128544022172,7
3,0.13374589759222597,0.13374589759222597,0.1606279419161112,0.0490962517705492,7
4,0.13283296892272348,0.13283296892272348,0.16866542893994596,0.04969259202765696,3
5,0.13283296892272348,0.13283296892272348,0.19268360820953379,0.0762856004897309,3
6,0.13283296892272348,0.13283296892272348,0.1593203657388523,0.03341707622664789,3
7,0.13283296892272348,0.13283296892272348,0.17165468613177595,0.06293303139566736,3
8,0.13283296892272348,0.13283296892272348,0.17915572415878855,0.06011887810182471,3
9,0.13283296892272348,0.13283296892272348,0.15227663884735868,0.03553342139654364,3
10,0.13283296892272348,0.13283296892272348,0.14304724403102245,0.021697967130386412,3
11,0.13283296892272348,0.13283296892272348,0.15969012972251323,0.04328042467673911,3
12,0.13283296892272348,0.13283296892272348,0.15704462149283974,0.04880912270964307,3
13,0.13283296892272348,0.13283296892272348,0.14680559932542692,0.021447391520645627,3
14,0.13283296892272348,0.13283296892272348,0.1462611174820111,0.04686706267059975,3
