generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.5613093974986738,0.5613093974986738,0.5874193227480083,0.010500298820301079,3
1,0.5515640863182539,0.5515640863182539,0.5775430776029306,0.013541590181264005,4
2,0.5515640863182539,0.5515640863182539,0.5750107720928707,0.015142857202023184,4
3,0.5479695421210549,0.5479695421210549,0.5662488488035092,0.012718693551939072,3
4,0.5479695421210549,0.5479695421210549,0.5611205769658512,0.00844480577758674,3
5,0.5462269300453159,0.5462269300453159,0.5591451411145052,0.009866060033794553,2
6,0.5420836858087409,0.5420836858087409,0.561819335534491,0.0317955563274622,5
7,0.5405445419817776,0.5405445419817776,0.5535928717562413,0.0077111583916777415,5
8,0.5405445419817776,0.5405445419817776,0.5516059702769697,0.006169092684430264,5
9,0.5405445419817776,0.5405445419817776,0.5636519178513378,0.042639872023212136,5
10,0.5372385353957224,0.5372385353957224,0.5498205838978358,0.008620399434136627,8
11,0.5372385353957224,0.5372385353957224,0.5468419202219678,0.007800617931517612,8
12,0.5372385353957224,0.5372385353957224,0.5462618396688382,0.0070285276551719485,8
13,0.5370008929425215,0.5370008929425215,0.5558430954969071,0.025228030076370492,7
14,0.5370008929425215,0.5370008929425215,0.548113412742513,0.010800635436162758,7
15,0.5357824438087957,0.5357824438087957,0.5467387004171045,0.012180492614042545,8
16,0.5314902278310212,0.5314902278310212,0.5464967181699223,0.015503603474905517,8
17,0.5314902278310212,0.5314902278310212,0.5421067317159367,0.0070839892937500605,8
18,0.5284969929400819,0.5284969929400819,0.5422190626334598,0.010781916627732365,8
19,0.5272518099468589,0.5272518099468589,0.5434506576853587,0.014993884767369193,8
20,0.5272518099468589,0.5272518099468589,0.5414780645837673,0.010905028732335436,8
21,0.5272518099468589,0.5272518099468589,0.5568718620885417,0.03997163643582692,8
22,0.5272518099468589,0.5272518099468589,0.5444713292868946,0.015226968004473871,8
23,0.5239620494588559,0.5239620494588559,0.5439658870355075,0.01776940691439551,6
24,0.5239620494588559,0.5239620494588559,0.5423240247907892,0.016308918871223523,6
25,0.5237954177079833,0.5237954177079833,0.5501118549516851,0.021659838317535457,6
26,0.5209666904967206,0.5209666904967206,0.5427008692101364,0.014832128189044006,8
27,0.5209666904967206,0.5209666904967206,0.5595618574591092,0.04555082910275372,8
28,0.5209666904967206,0.5209666904967206,0.5468561972005601,0.027559825550900814,8
29,0.5209666904967206,0.5209666904967206,0.54836340174958,0.03391187529793025,8
30,0.5209666904967206,0.5209666904967206,0.555835312781441,0.03685785563716873,8
31,0.5184179517079736,0.5184179517079736,0.5378975071575952,0.01533093525090581,8
32,0.5184179517079736,0.5184179517079736,0.5448499656926047,0.023644788453098493,8
33,0.5173680567387832,0.5173680567387832,0.5439069712531791,0.0217568464506675,8
34,0.5142916473073912,0.5142916473073912,0.5472831469779316,0.02863730811437446,8
35,0.5142916473073912,0.5142916473073912,0.5648500434380838,0.04382076322666479,8
36,0.5142916473073912,0.5142916473073912,0.5513373232296574,0.02733380595950699,8
37,0.5142916473073912,0.5142916473073912,0.5422721505667482,0.022363881365555952,8
38,0.5142916473073912,0.5142916473073912,0.5433578276161166,0.019805224190571465,8
39,0.5142916473073912,0.5142916473073912,0.5424675146469441,0.023771800021278704,8
