generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.5745975024636006,0.5745975024636006,0.5929346466694764,0.010209696569894731,7
1,0.5695071914030249,0.5695071914030249,0.5881928606394683,0.010361483858046647,6
2,0.5672132006407257,0.5672132006407257,0.582066005408019,0.010018232762981664,2
3,0.5638353681807016,0.5638353681807016,0.5766645835175709,0.01019490047827173,4
4,0.5638353681807016,0.5638353681807016,0.5729601799322226,0.00811041153069261,4
5,0.5565404093196039,0.5565404093196039,0.5699354002393576,0.009374042293961105,4
6,0.555668262929775,0.555668262929775,0.5680046903337006,0.010788853540171308,8
7,0.555668262929775,0.555668262929775,0.5625626746673631,0.007121676646551222,8
8,0.5533225734087163,0.5533225734087163,0.5612163600756632,0.006145938066237348,7
9,0.5515404706722432,0.5515404706722432,0.5603533511285606,0.006707300193647147,7
10,0.5473943062593638,0.5473943062593638,0.565509847650638,0.013812752519774043,8
11,0.545234588082899,0.545234588082899,0.5646405443659988,0.01873649332583368,8
12,0.5446664797163339,0.5446664797163339,0.561641359757494,0.013688593859040133,8
13,0.5442888329393495,0.5442888329393495,0.5647493173766173,0.017864277848111523,7
14,0.5441704621570598,0.5441704621570598,0.5557216759816661,0.009247897309684255,6
15,0.5441704621570598,0.5441704621570598,0.5628478991247379,0.02009517639468223,6
16,0.5426803723173247,0.5426803723173247,0.5693270802797382,0.037188680921351185,6
17,0.5400502662534559,0.5400502662534559,0.5555197850493295,0.015618607903090885,8
18,0.5400502662534559,0.5400502662534559,0.5547048286620029,0.01340632452211687,8
19,0.5400502662534559,0.5400502662534559,0.5785151190571525,0.05643262076776635,8
20,0.537760608258423,0.537760608258423,0.5627219352692847,0.029602696920140465,8
21,0.5357945440072189,0.5357945440072189,0.5561257911155715,0.021228355439712784,8
22,0.5353882279120563,0.5353882279120563,0.5506687702497488,0.016251800578272198,7
23,0.5353882279120563,0.5353882279120563,0.5542658420766287,0.02544206875632801,7
24,0.5342178071276006,0.5342178071276006,0.5585530788945993,0.03364459890801351,5
25,0.5320754755427684,0.5320754755427684,0.5579555138200094,0.032157005580760616,7
26,0.5311992616073894,0.5311992616073894,0.5516640759943461,0.0213810721833866,6
27,0.5311992616073894,0.5311992616073894,0.5599806352422639,0.03307741663858235,6
28,0.5307883156818518,0.5307883156818518,0.5576642893290106,0.0423567131370558,8
29,0.5307883156818518,0.5307883156818518,0.5495662555157589,0.02279038544734909,8
30,0.5307883156818518,0.5307883156818518,0.5537062135964724,0.02167251298997497,8
31,0.5307883156818518,0.5307883156818518,0.5534823444935641,0.017757494289358217,8
32,0.529032894530804,0.529032894530804,0.5671056245858963,0.05045237408804018,8
33,0.5286204362146112,0.5286204362146112,0.5416331569202211,0.009832760266092361,7
34,0.5286204362146112,0.5286204362146112,0.5472335695712414,0.019244986839028335,7
35,0.5286204362146112,0.5286204362146112,0.5536524108470781,0.030620271140795723,7
36,0.5239531921482865,0.5239531921482865,0.5498885683469262,0.025896497145338798,5
37,0.5223100847721684,0.5223100847721684,0.5443811432959512,0.021582997401415546,6
38,0.5223100847721684,0.5223100847721684,0.5576012284179057,0.03960411152947049,6
39,0.5223100847721684,0.5223100847721684,0.5702720436409254,0.05491940347918087,6
