generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.7396027039731338,0.7396027039731338,0.9887812400147357,0.1680365311683547,8
1,0.679884568519141,0.679884568519141,0.8887981924520273,0.10574936630595841,8
2,0.679884568519141,0.679884568519141,0.8409061013134032,0.10139637043399333,8
3,0.6614362927079147,0.6614362927079147,0.7849375438524353,0.11932052273076488,8
4,0.6301666697358519,0.6301666697358519,0.8773157424103262,0.3727270835268668,8
5,0.6228124578744121,0.6228124578744121,0.7573220309532905,0.11594300291173096,5
6,0.6228124578744121,0.6228124578744121,0.8000986767515168,0.17859770568025563,5
7,0.596505824658114,0.596505824658114,0.8231308586420196,0.23137966915369443,8
8,0.596505824658114,0.596505824658114,0.7349151889172488,0.2025776501041366,8
9,0.5848889345153921,0.5848889345153921,0.7635732724559255,0.2260663150897802,6
10,0.5848889345153921,0.5848889345153921,0.7108139592898216,0.15451089316857128,6
11,0.5848889345153921,0.5848889345153921,0.7573415301067896,0.25436523696782326,6
12,0.5848889345153921,0.5848889345153921,0.7144435930396404,0.147174525162835,6
13,0.5785475504530339,0.5785475504530339,0.8683949855330526,0.38889227681979405,7
14,0.5785475504530339,0.5785475504530339,0.7446568836744508,0.1900655453057045,7
15,0.5785475504530339,0.5785475504530339,0.7414577248079856,0.3058086201347323,7
16,0.5785475504530339,0.5785475504530339,0.7510778524747245,0.3788474785883524,7
17,0.565929650338258,0.565929650338258,0.7943142652816083,0.4572774080298051,8
18,0.565929650338258,0.565929650338258,0.7454822614850285,0.29603187338728565,8
19,0.565929650338258,0.565929650338258,0.900622438762042,0.5109631254242054,8
20,0.565929650338258,0.565929650338258,0.8020009341561444,0.45488743342559934,8
21,0.565929650338258,0.565929650338258,0.6742878860751848,0.140896028510761,8
22,0.565929650338258,0.565929650338258,0.7362027494084812,0.4209682474684529,8
23,0.565929650338258,0.565929650338258,0.8021257786767403,0.4493491838724568,8
24,0.565929650338258,0.565929650338258,0.8127807065845939,0.4398429111464706,8
25,0.5621664444848423,0.5621664444848423,0.7187246794736604,0.17771160672400677,8
26,0.5621664444848423,0.5621664444848423,0.6872743784438928,0.14469633031381202,8
27,0.5621664444848423,0.5621664444848423,0.9049911422554395,0.472111253183895,8
28,0.5611632356673374,0.5611632356673374,0.7961687476617179,0.3954158086544339,8
29,0.5608575823578621,0.5608575823578621,0.7022268041992696,0.17846604870075278,7
30,0.5608575823578621,0.5608575823578621,0.7530351129240992,0.24092797632288546,7
31,0.5546277379019249,0.5546277379019249,0.7860116274933057,0.35325183262443194,8
32,0.550705627679906,0.550705627679906,0.8643692462669434,0.42323810347740126,8
33,0.550705627679906,0.550705627679906,0.7886823917713887,0.34881615181043407,8
34,0.550705627679906,0.550705627679906,0.7381067102789476,0.3058851989674365,8
35,0.5476851204636444,0.5476851204636444,0.7531704027224028,0.4022138948799059,8
36,0.5476851204636444,0.5476851204636444,0.8219347673248185,0.4335292720718188,8
37,0.5436970307460676,0.5436970307460676,0.8013933123472166,0.34983876350830934,7
38,0.5436970307460676,0.5436970307460676,0.906030479275497,0.4804164618211082,7
39,0.542270962341668,0.542270962341668,0.888095750693578,0.5103931523342614,8
