generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.57074570120114,0.57074570120114,0.5878397614769836,0.008437939078323154,4
1,0.57074570120114,0.57074570120114,0.5855255218620259,0.01886268800583226,4
2,0.5672644685383015,0.5672644685383015,0.5760310026317156,0.00808071842624475,7
3,0.565902223712903,0.565902223712903,0.5734617448430384,0.008105366609194907,3
4,0.5629278941121452,0.5629278941121452,0.5766667381258087,0.021777085491901826,8
5,0.5605630617392288,0.5605630617392288,0.5716500548215179,0.006531771132811559,8
6,0.5577355130930118,0.5577355130930118,0.5690208278788369,0.007406071154717625,5
7,0.5507916724751627,0.5507916724751627,0.5651356269290445,0.008895278413475144,7
8,0.5476582510800362,0.5476582510800362,0.5609059245313365,0.007601409226883472,8
9,0.5476582510800362,0.5476582510800362,0.5613808539010818,0.00916662030199066,8
10,0.5415591038537269,0.5415591038537269,0.5577131211565101,0.00888952778179382,8
11,0.5415591038537269,0.5415591038537269,0.558055194706753,0.013398294638563513,8
12,0.5415591038537269,0.5415591038537269,0.559621144493745,0.012881196104847632,8
13,0.5399469535534551,0.5399469535534551,0.5569002723758492,0.014148106806293801,8
14,0.5363093432208405,0.5363093432208405,0.5524677150839503,0.010552848463440992,8
15,0.5337603494208957,0.5337603494208957,0.5549493429066729,0.017674343328412938,8
16,0.5337603494208957,0.5337603494208957,0.547567641409085,0.011359358789492461,8
17,0.5325005679651933,0.5325005679651933,0.5507238507783723,0.012528205106838067,7
18,0.5324945917513371,0.5324945917513371,0.5486119392395813,0.015340273361682848,8
19,0.5324945917513371,0.5324945917513371,0.5413247833028263,0.00763547736040306,8
20,0.5303218473618247,0.5303218473618247,0.5470785352963701,0.01881897926405806,6
21,0.5303218473618247,0.5303218473618247,0.5432370245941717,0.012603674498105491,6
22,0.5303218473618247,0.5303218473618247,0.5477538612415324,0.018667404997617217,6
23,0.527328249016758,0.527328249016758,0.545243303776379,0.013025454790338814,5
24,0.527328249016758,0.527328249016758,0.5454120218407603,0.012078173692566611,5
25,0.527328249016758,0.527328249016758,0.5495533885575744,0.020700112863640138,5
26,0.527328249016758,0.527328249016758,0.5498721296194371,0.019995017790587235,5
27,0.5258921272306916,0.5258921272306916,0.5482487162408028,0.019879069104506777,8
28,0.5258921272306916,0.5258921272306916,0.545097415662804,0.01676256800503234,8
29,0.5258921272306916,0.5258921272306916,0.5599218032461036,0.049483574189244796,8
30,0.5258921272306916,0.5258921272306916,0.5393670339227304,0.011198379568398647,8
31,0.5258921272306916,0.5258921272306916,0.5461200949255882,0.021113570031731217,8
32,0.5258921272306916,0.5258921272306916,0.5438916070585413,0.02501887415067491,8
33,0.5258921272306916,0.5258921272306916,0.5563262457233844,0.056181573647629636,8
34,0.5258921272306916,0.5258921272306916,0.549447469097138,0.032337779256713675,8
35,0.5258921272306916,0.5258921272306916,0.5403271015406248,0.02587211592424341,8
36,0.5257356225668945,0.5257356225668945,0.5436490076274221,0.024130184398149367,8
37,0.5256869892577924,0.5256869892577924,0.5486108291546469,0.03882725131374316,8
38,0.5256869892577924,0.5256869892577924,0.5449397296899037,0.027219991539517797,8
39,0.5242544565308849,0.5242544565308849,0.5397410768894211,0.017618305972897843,8
