generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.6392240168450954,0.6392240168450954,0.8034216355355881,0.15451900941581836,6
1,0.5170584295338851,0.5170584295338851,0.7000832978978988,0.10012115928768422,5
2,0.5170584295338851,0.5170584295338851,0.6907963329752174,0.13501429476806534,5
3,0.5170584295338851,0.5170584295338851,0.6656456954153286,0.0982539427673468,5
4,0.5170584295338851,0.5170584295338851,0.7028093176683359,0.22468932433599248,5
5,0.5013408860581399,0.5013408860581399,0.7466056677569604,0.48281865831682047,8
6,0.4303914098013813,0.4303914098013813,0.602634167383044,0.10762497961511996,6
7,0.4303914098013813,0.4303914098013813,0.5954516790259744,0.1245281840725625,6
8,0.3979210435080975,0.3979210435080975,0.6061902168478597,0.17223835308884064,8
9,0.3979210435080975,0.3979210435080975,0.6781048528492852,0.3251446590879782,8
10,0.3845636441342866,0.3845636441342866,0.6071086924404464,0.22277470162542978,8
11,0.38065226407299363,0.38065226407299363,0.5736365110040498,0.2427545303578096,8
12,0.37968464518382883,0.37968464518382883,0.598005957866992,0.3500634124134563,8
13,0.37968464518382883,0.37968464518382883,0.6436758663530721,0.3550921091054301,8
14,0.37968464518382883,0.37968464518382883,0.6141856255545329,0.26356663199949043,8
15,0.37495582151481155,0.37495582151481155,0.5573162311112185,0.18773345542985537,8
16,0.35946440628961174,0.35946440628961174,0.5605985826844174,0.2369039026447331,8
17,0.35946440628961174,0.35946440628961174,0.5880371573241869,0.20059755771450014,8
18,0.35946440628961174,0.35946440628961174,0.5870108046439264,0.2323442777190736,8
19,0.35946440628961174,0.35946440628961174,0.5247086288716514,0.15035704396139882,8
20,0.3458041164295184,0.3458041164295184,0.5302381284454672,0.15893630613439402,8
21,0.3458041164295184,0.3458041164295184,0.6085369812752278,0.3495005525812089,8
22,0.3458041164295184,0.3458041164295184,0.5621985649757908,0.2551483801165744,8
23,0.3458041164295184,0.3458041164295184,0.5620244224298433,0.2821381705219238,8
24,0.3458041164295184,0.3458041164295184,0.6090423058466938,0.49761572500107154,8
25,0.3458041164295184,0.3458041164295184,0.5183277913131188,0.2622431730090608,8
26,0.3430240955713405,0.3430240955713405,0.5644579079190291,0.23945914263219095,8
27,0.3391335682601836,0.3391335682601836,0.5764639984214921,0.28474541381464324,8
28,0.3391335682601836,0.3391335682601836,0.696896771603528,0.4444837338604928,8
29,0.3391335682601836,0.3391335682601836,0.633290121842689,0.6051918135920205,8
30,0.33031031627175844,0.33031031627175844,0.613040306848155,0.3658967296590195,8
31,0.32417677450755716,0.32417677450755716,0.6535750778662134,0.38709267226157673,8
32,0.32417677450755716,0.32417677450755716,0.7814901629125831,0.6823683361086775,8
33,0.32417677450755716,0.32417677450755716,0.593052422571327,0.3912541284741413,8
34,0.32417677450755716,0.32417677450755716,0.6874586172449666,0.5962922214881079,8
35,0.32267019051601514,0.32267019051601514,0.7407865927236227,0.4601053169119621,8
36,0.32144219539229235,0.32144219539229235,0.6387700525405328,0.41081020307041255,8
37,0.32144219539229235,0.32144219539229235,0.5887097590788509,0.5747448277186924,8
38,0.32144219539229235,0.32144219539229235,0.5911061381222337,0.34327971936793666,8
39,0.32144219539229235,0.32144219539229235,0.7309038099107031,0.4372266103977833,8
