generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.5956802140095407,0.5956802140095407,1.0375091762905013,0.15997552156765982,3
1,0.5884142316274682,0.5884142316274682,0.9733839333512977,0.3146707059228725,3
2,0.5884142316274682,0.5884142316274682,0.8753506664531119,0.12935835617311306,3
3,0.5884142316274682,0.5884142316274682,1.009849519972151,0.5856437067896747,3
4,0.5875492941989502,0.5875492941989502,0.8147073917678854,0.23425507317697186,5
5,0.5871515186320281,0.5871515186320281,0.7817582458194161,0.27135919531481717,5
6,0.581411750709538,0.581411750709538,0.7659469188592682,0.24835196469451185,3
7,0.5682604970670541,0.5682604970670541,0.8702567342883966,0.5502131427483684,8
8,0.5292091641782786,0.5292091641782786,0.9574878130691821,0.8924994735940335,3
9,0.5100110065858777,0.5100110065858777,0.6280149839756265,0.09773865155516887,8
10,0.5064622774377289,0.5064622774377289,0.7411409215437139,0.25824180743915365,8
11,0.4951485699793972,0.4951485699793972,0.8899363069884109,0.5966964026256976,8
12,0.49180287294883784,0.49180287294883784,0.6252929240355443,0.1118422596210665,8
13,0.47430091914900663,0.47430091914900663,0.6821348588496463,0.23919604463657118,8
14,0.47430091914900663,0.47430091914900663,0.6530441753777788,0.15945969823594966,8
15,0.47430091914900663,0.47430091914900663,0.6854662818414046,0.25968183629628383,8
16,0.47430091914900663,0.47430091914900663,0.666725172014423,0.1979113958600694,8
17,0.47430091914900663,0.47430091914900663,0.7269817721048846,0.5850025871808142,8
18,0.47009184984905444,0.47009184984905444,0.6725709481692073,0.4383228731589019,7
19,0.47009184984905444,0.47009184984905444,0.7410936234083261,0.5625166788206195,7
20,0.4570905795234038,0.4570905795234038,0.6559716615644423,0.1718226142747984,4
21,0.4570905795234038,0.4570905795234038,0.7338946776653895,0.5120795682657877,4
22,0.4570905795234038,0.4570905795234038,0.7349334232126161,0.6102291465662444,4
23,0.4565002474550727,0.4565002474550727,0.7359130816054182,0.6197505799779033,4
24,0.44957060368075163,0.44957060368075163,0.6889682920946751,0.5137127713508225,4
25,0.4479592191857314,0.4479592191857314,1.032407212798213,1.1062438724846637,8
26,0.44079774476072464,0.44079774476072464,0.6420150569417591,0.45738730935665783,6
27,0.44079774476072464,0.44079774476072464,1.0937040677113177,1.0164781804016145,6
28,0.44079774476072464,0.44079774476072464,0.867682573901252,0.7274252250226378,6
29,0.44079774476072464,0.44079774476072464,0.8547466215409187,0.8568161818205435,6
30,0.44079774476072464,0.44079774476072464,0.614647348551277,0.5388066817598625,6
31,0.440503415659884,0.440503415659884,0.8694609344214207,0.9054799909135063,6
32,0.440503415659884,0.440503415659884,1.012390681141962,1.105913332537006,6
33,0.440503415659884,0.440503415659884,0.7656446781077386,0.7418238210199279,6
34,0.440503415659884,0.440503415659884,0.8034469998939494,0.8557704967739166,6
35,0.440503415659884,0.440503415659884,0.8432837464871069,0.7876694130629746,6
36,0.440503415659884,0.440503415659884,0.8349447370124472,0.7613094733054819,6
37,0.440503415659884,0.440503415659884,0.9860594183212155,0.9279629104263137,6
38,0.440503415659884,0.440503415659884,0.8117606455950501,0.7773554783707665,6
39,0.440503415659884,0.440503415659884,0.8244696310590638,0.817799596667034,6
