generation,generation_best_fitness,global_best_fitness,generation_mean_fitness,generation_std_fitness,best_K
0,0.7614013894313921,0.7614013894313921,0.9575573999292085,0.14191460391560723,8
1,0.7511084211959451,0.7511084211959451,0.8718650185725239,0.09352394562080144,6
2,0.7022608239963194,0.7022608239963194,0.8279059637242745,0.12040412381909482,6
3,0.6968147338986092,0.6968147338986092,0.8647564469826468,0.21644402513536234,5
4,0.6968147338986092,0.6968147338986092,0.8269161819150646,0.1622498216656319,5
5,0.6662663867788553,0.6662663867788553,0.8246746900097847,0.17269380261127953,8
6,0.6662663867788553,0.6662663867788553,0.795084441793812,0.11386948728523327,8
7,0.6551367397792526,0.6551367397792526,0.8688704485907138,0.19046677371206858,7
8,0.6280257063095307,0.6280257063095307,0.8403919398348009,0.2476871076500291,4
9,0.6280257063095307,0.6280257063095307,0.7331617348189924,0.12271460050320541,4
10,0.6159239730978735,0.6159239730978735,0.7819815425550136,0.2507951840740883,6
11,0.6040801283838168,0.6040801283838168,0.7053684834586526,0.16183647935484838,7
12,0.5963315335054526,0.5963315335054526,0.7502640075829798,0.27494429618542854,7
13,0.5809500087293378,0.5809500087293378,0.7734797900114075,0.3106089767855529,8
14,0.5690278088005578,0.5690278088005578,0.7017959848838052,0.15061254352075615,8
15,0.5690278088005578,0.5690278088005578,0.8870873445157974,0.33235518381286466,8
16,0.5690278088005578,0.5690278088005578,0.7633886507911878,0.29740349213255085,8
17,0.5690278088005578,0.5690278088005578,0.789023112122267,0.2520780104571914,8
18,0.5644081492831957,0.5644081492831957,0.7206348688322924,0.2916880803438181,8
19,0.5644081492831957,0.5644081492831957,0.7779253325237262,0.2580716135551567,8
20,0.5607071668611123,0.5607071668611123,0.7427063646217479,0.2288176119922931,7
21,0.5598622553369994,0.5598622553369994,0.7913176113670798,0.3773928656299723,8
22,0.555973514731985,0.555973514731985,0.7952151751416359,0.3144686968041103,8
23,0.555973514731985,0.555973514731985,0.7088460129328292,0.2018621772878761,8
24,0.555973514731985,0.555973514731985,0.7676396192650173,0.3212927614846447,8
25,0.555973514731985,0.555973514731985,0.8406831056894408,0.3099831081376123,8
26,0.555973514731985,0.555973514731985,0.8321614967261914,0.3612300613975031,8
27,0.555973514731985,0.555973514731985,0.8124488627893491,0.34112424693357124,8
28,0.555973514731985,0.555973514731985,0.7502146133257795,0.3101015343565721,8
29,0.555973514731985,0.555973514731985,0.8870340140508912,0.362117038761867,8
30,0.5468172265196509,0.5468172265196509,0.8340163185582096,0.40426298285510415,8
31,0.544042525570844,0.544042525570844,0.7453451905851238,0.33576026909195195,8
32,0.5265147759326291,0.5265147759326291,0.9455025160660538,0.4516338085262917,8
33,0.5265147759326291,0.5265147759326291,0.7645180280996925,0.33959148421623325,8
34,0.5265147759326291,0.5265147759326291,0.7649202339358113,0.34746815308583495,8
35,0.5252066197944629,0.5252066197944629,0.9787882230811442,0.6007456871109096,8
36,0.5252066197944629,0.5252066197944629,0.7240581131919036,0.24931971033149822,8
37,0.5210500413923695,0.5210500413923695,0.8035279769953237,0.34492901604993315,8
38,0.5203403172743238,0.5203403172743238,0.6950995982569944,0.1966193778365969,8
39,0.5188051341555617,0.5188051341555617,0.6838252477955359,0.21132937578302716,8
