dataset,config_id,factor,level,seed,window_size,K_min,K_max,population_size,maximum_generations,crossover_probability,center_mutation_probability,sigma_mutation_probability,consequent_mutation_probability,lambda_rules,lambda_weights,K_selected,generations_ran,training_time_sec,inference_latency_sec,model_size_bytes,RMSE,MAE,sMAPE,R2,R2_manual
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,88,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,4,40,1.0697450020006727,6.716298799974971e-05,3392,126.53222637710525,92.86693709738432,79.38367832801447,0.9170873245115162,0.9170873245115162
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,99,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,3,31,0.8063649790001364,5.973795245630581e-05,2544,101.7010660377454,70.31741020476034,29.364431606195463,0.9464364144904789,0.9464364144904789
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,110,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,2,11,0.290982234000694,0.00010395339285466998,1696,126.08425869848531,107.78017297331701,46.798516398806974,0.9176733641590866,0.9176733641590866
cholera,crossover_probability__0.70,crossover_probability,0.70,11,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,2,32,0.8721001910007544,0.0001663630119396874,1696,108.90645556417842,78.62788676523736,30.786225085923164,0.938577727856816,0.938577727856816
cholera,crossover_probability__0.70,crossover_probability,0.70,22,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,2,40,1.2626942959996086,9.358023815019849e-05,1696,98.8113802612786,58.744638346508815,25.661858587551407,0.9494370316324012,0.9494370316324012
cholera,crossover_probability__0.70,crossover_probability,0.70,33,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,4,40,1.3308916380001392,0.00010095048814729948,3392,112.40597690004844,74.52269828048904,43.26583339150829,0.9345669086369292,0.9345669086369292
cholera,crossover_probability__0.70,crossover_probability,0.70,44,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,3,40,2.341654378000385,7.164409531209717e-05,2544,96.85944180331573,55.87766064948893,18.574518630151022,0.9514149611905227,0.9514149611905227
cholera,crossover_probability__0.70,crossover_probability,0.70,55,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,4,40,0.9437877239997761,6.49486547185266e-05,3392,220.42047392591272,208.22535419022245,67.55689638480222,0.7483931307435099,0.7483931307435099
cholera,crossover_probability__0.70,crossover_probability,0.70,66,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,3,40,1.0045782610004608,6.85236666738222e-05,2544,111.78164518131591,78.27877336935565,68.65760161025392,0.9352917544926933,0.9352917544926933
cholera,crossover_probability__0.70,crossover_probability,0.70,77,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,4,40,1.0643799610006681,6.505680957637932e-05,3392,153.28593571246034,127.79524972205624,107.45238748885254,0.8783188659024808,0.8783188659024808
cholera,crossover_probability__0.70,crossover_probability,0.70,88,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,2,40,0.971924202000082,7.084828567236574e-05,1696,103.621912026724,73.97348759252606,31.32799364668181,0.9443939772052802,0.9443939772052802
cholera,crossover_probability__0.70,crossover_probability,0.70,99,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,2,23,0.5575414819995785,6.633804763450393e-05,1696,128.8710057245696,109.50834487200117,45.811830772548575,0.9139939374176157,0.9139939374176157
cholera,crossover_probability__0.70,crossover_probability,0.70,110,52,2,8,25,40,0.7,0.25,0.25,0.3,0.005,1e-06,2,19,0.4562400000004345,5.9380380943843016e-05,1696,130.2112588742514,112.75858351970163,48.35717687108477,0.912195716061273,0.912195716061273
cholera,ga_budget__small_15x20,ga_budget,small_15x20,11,52,2,8,15,20,0.9,0.25,0.25,0.3,0.005,1e-06,2,20,0.28797607900014555,6.361583331497622e-05,1696,124.86345824797013,106.80644276839699,47.23772930334057,0.9192598878440758,0.9192598878440758
