dataset,detector,detector_category,seed,scenario,n_eval,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,44,injected_10pct,84,4,3,73,4,8,7,0.5714285714285714,0.5,0.5333333333333333,0.9605263157894737,0.039473684210526314,0.7302631578947368,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,44,injected_5pct,84,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,44,proxy_robust_z,84,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,55,injected_10pct,84,4,3,73,4,8,7,0.5714285714285714,0.5,0.5333333333333333,0.9605263157894737,0.039473684210526314,0.7302631578947368,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,55,injected_5pct,84,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,55,proxy_robust_z,84,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,66,injected_10pct,84,4,3,73,4,8,7,0.5714285714285714,0.5,0.5333333333333333,0.9605263157894737,0.039473684210526314,0.7302631578947368,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,66,injected_5pct,84,4,4,76,0,4,8,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,66,proxy_robust_z,84,0,0,84,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,77,injected_10pct,84,4,5,71,4,8,9,0.4444444444444444,0.5,0.47058823529411764,0.9342105263157895,0.06578947368421052,0.7171052631578947,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,77,injected_5pct,84,4,6,74,0,4,10,0.4,1.0,0.5714285714285714,0.925,0.075,0.9625,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,77,proxy_robust_z,84,0,2,82,0,0,2,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,88,injected_10pct,84,4,5,71,4,8,9,0.4444444444444444,0.5,0.47058823529411764,0.9342105263157895,0.06578947368421052,0.7171052631578947,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,88,injected_5pct,84,4,6,74,0,4,10,0.4,1.0,0.5714285714285714,0.925,0.075,0.9625,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,88,proxy_robust_z,84,0,2,82,0,0,2,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,99,injected_10pct,84,4,4,72,4,8,8,0.5,0.5,0.5,0.9473684210526315,0.05263157894736842,0.7236842105263157,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,99,injected_5pct,84,4,5,75,0,4,9,0.4444444444444444,1.0,0.6153846153846154,0.9375,0.0625,0.96875,applicable
cholera,NFGA-LINEAR residual detector,forecast_residual_detector,99,proxy_robust_z,84,0,1,83,0,0,1,,,,0.9880952380952381,0.011904761904761904,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,110,injected_10pct,42,4,5,33,0,4,9,0.4444444444444444,1.0,0.6153846153846154,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,110,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,110,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,11,injected_10pct,42,4,4,34,0,4,8,0.5,1.0,0.6666666666666666,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,11,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,11,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,22,injected_10pct,42,4,5,33,0,4,9,0.4444444444444444,1.0,0.6153846153846154,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,22,injected_5pct,42,2,3,37,0,2,5,0.4,1.0,0.5714285714285714,0.925,0.075,0.9625,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,22,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,33,injected_10pct,42,4,5,33,0,4,9,0.4444444444444444,1.0,0.6153846153846154,0.868421052631579,0.13157894736842105,0.9342105263157895,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,33,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,33,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,44,injected_10pct,42,4,6,32,0,4,10,0.4,1.0,0.5714285714285714,0.8421052631578947,0.15789473684210525,0.9210526315789473,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,44,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,44,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,55,injected_10pct,42,4,4,34,0,4,8,0.5,1.0,0.6666666666666666,0.8947368421052632,0.10526315789473684,0.9473684210526316,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,55,injected_5pct,42,2,2,38,0,2,4,0.5,1.0,0.6666666666666666,0.95,0.05,0.975,applicable
electricity,NFGA-LINEAR residual detector,forecast_residual_detector,55,proxy_robust_z,42,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
