dataset,model,scenario,n_seeds,n_reference_anomalies,n_detected_mean,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,metric_status
cholera,XGBoost,injected_10pct,10,8,29.4,0.1401101651407547,0.015044974245408738,0.5125,0.03952847075210475,0.21989100794054353,0.021397588161758813,applicable
cholera,XGBoost,injected_5pct,10,4,35.1,0.11480816187045502,0.010806307460966507,1.0,0.0,0.20581896756479554,0.017239511188668667,applicable
cholera,XGBoost,proxy_robust_z,10,0,39.1,,,,,,,not_applicable_no_positive_reference
electricity,XGBoost,injected_10pct,10,4,7.0,0.5714285714285714,0.0,1.0,0.0,0.7272727272727273,0.0,applicable
electricity,XGBoost,injected_5pct,10,2,4.6,0.44000000000000006,0.05163977794943221,1.0,0.0,0.6095238095238095,0.04918074090422118,applicable
electricity,XGBoost,proxy_robust_z,10,0,2.0,,,,,,,not_applicable_no_positive_reference
ilinet,XGBoost,injected_10pct,10,5,12.7,0.3465201465201465,0.03606400268443977,0.8800000000000001,0.10327955589886444,0.4970072239422085,0.05274195702050734,applicable
ilinet,XGBoost,injected_5pct,10,3,16.2,0.18529411764705883,0.004650408323777023,1.0,0.0,0.3126315789473684,0.006657426652986063,applicable
ilinet,XGBoost,proxy_robust_z,10,11,9.2,0.9800000000000001,0.04216370213557839,0.8181818181818181,0.0,0.8914285714285715,0.018070158058105062,applicable
