dataset,model,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,training_time_mean_sec,training_time_std_sec,inference_latency_mean_sec,model_size_mean_bytes
cholera,XGBoost,10,391.6312026277968,24.706919431687083,295.07156304386035,17.132350800208417,68.50885539462114,3.787099031186264,0.20287567095361472,0.10247907809984279,2.037648533499987,1.3502178766173298,0.0010740558547565472,574278.0
electricity,XGBoost,10,0.13001942544897052,0.0015603668103739297,0.10507830018220474,0.001966350961896012,11.801974289031861,0.24869308226642212,0.6871681625680536,0.007518644146354136,0.330095786100037,0.4712136167778666,0.0007002607881022847,303884.6
ilinet,XGBoost,10,0.7008534207522598,0.016870597540641193,0.37497870106545333,0.008672860631316637,10.12030621175671,0.23880273858847675,0.8670689289829692,0.006381132415057191,0.12326637939991088,0.06660974657553265,0.0006501034903880491,179516.6
