dataset,order,aic,status,fit_time_sec
electricity,"(1, 0, 0)",-61.85229775519059,ok,0.0516247979999207
electricity,"(1, 1, 0)",-57.101194945829,ok,0.06500923100020373
electricity,"(2, 1, 0)",-56.75778800220287,ok,0.05353805400000056
electricity,"(1, 1, 1)",-59.970585954971014,ok,0.06119906899994021
electricity,"(2, 1, 1)",-57.97023121648513,ok,0.32634043300004123
electricity,"(3, 1, 0)",-60.73896667077162,ok,0.03824824200000876
