dataset,model,scenario,n_eval,RMSE,MAE,sMAPE,R2,R2_manual,mean_inference_latency_sec,selected_order
cholera,Persistence,forecast_original,84,96.03446801861844,55.166666666666664,18.705881959035032,0.9522390562193019,0.9522390562193019,3.5245236739726917e-07,
cholera,SeasonalNaive,forecast_original,84,618.7376838601084,488.98809523809524,126.52456625652128,-0.9825847658404261,-0.9825847658404261,5.160118776291797e-07,
cholera,ARIMA,forecast_original,84,103.00935483779206,60.95913606242964,21.457558861404472,0.9450494600195345,0.9450494600195345,0.016505305440432494,"(3, 1, 0)"
ilinet,Persistence,forecast_original,52,0.5017354080147914,0.3202559615384616,8.935494838522438,0.9319081415376638,0.9319081415376638,4.1959614149023906e-07,
ilinet,SeasonalNaive,forecast_original,52,1.0247880784853858,0.6474390384615385,19.21057219517211,0.7159375585705807,0.7159375585705807,4.26250057199258e-07,
ilinet,ARIMA,forecast_original,52,0.39514576125897805,0.22364026694123906,6.1247515355437425,0.957766182252635,0.957766182252635,0.0768963765000133,"(1, 1, 1)"
electricity,Persistence,forecast_original,42,0.16062538336176715,0.12449581753209193,13.19033911160045,0.5226174673317705,0.5226174673317705,4.2990480627243716e-07,
electricity,SeasonalNaive,forecast_original,42,0.15262337891365366,0.12002325435509392,13.170189770378741,0.5689969950521717,0.5689969950521717,5.831666277074311e-07,
electricity,ARIMA,forecast_original,42,0.14866954491560547,0.11831454766586123,12.52688762098865,0.5910387176950418,0.5910387176950418,0.03163835138093418,"(1, 0, 0)"
